Content,Label
"This is a lovely day for a walk in the park.",1
"I absolutely adore spending time with my friends.",1
"That was the most amazing concert I've ever been to!",1
"I feel so grateful for all the opportunities I've been given.",1
"The kindness of strangers always warms my heart.",1
"What a beautiful sunset we had tonight!",1
"I'm so excited for the future!",1
"This new restaurant is absolutely delicious.",1
"I'm so proud of my accomplishments.",1
"The world is a beautiful place.",1
"I appreciate you!",1
"Your smile makes my day.",1
"Kindness goes a long way.",1
"Feeling blessed!",1
"This song is fire!",1
"I love my life!",1
"So grateful for my family.",1
"This book is incredible!",1
"Great job, everyone!",1
"Positive vibes only!",1
"I am so happy right now.",1
"I'm having a great time.",1
"Life is good!",1
"It's going to be okay.",1
"You are amazing!",1
"I'm so lucky.",1
"Never give up!",1
"Believe in yourself.",1
"Dream big!",1
"Stay positive!",1
"I can do it!",1
"Everything will be alright.",1
"I feel so energized!",1
"I'm ready for anything!",1
"This is going to be awesome!",1
"Good things are coming.",1
"I'm surrounded by love.",1
"I'm so thankful.",1
"This is my best day yet!",1
"The future is bright.",1
"I love how the rain sounds.",1
"I’m so ready to dance all night!",1
"I love this artist!",1
"I'm so proud of my kids!",1
"What a wonderful performance!",1
"What a lovely flower!",1
"My cat is so cute!",1
"Life is like a box of chocolates.",1
"How lovely!.",1
"I can go on forever about how amazing I am.",1
"This is the best weather ever!",1
"I went to the beach today.",0
"I had a sandwich for lunch.",0
"The weather is cloudy today.",0
"I need to go to the grocery store.",0
"I'm going to watch a movie tonight.",0
"My car needs an oil change.",0
"I have a meeting at 2 PM.",0
"I'm feeling a little tired today.",0
"I need to call my doctor.",0
"I'm going to start a new project.",0
"I read a book this morning.",0
"I went for a run.",0
"I watered the plants.",0
"I checked my email.",0
"I paid my bills.",0
"I did some laundry.",0
"I cleaned my room.",0
"I cooked dinner.",0
"I walked the dog.",0
"I watched TV.",0
"The sky is blue.",0
"The grass is green.",0
"The birds are chirping.",0
"The coffee is hot.",0
"The tea is sweet.",0
"The sun is shining.",0
"The moon is full.",0
"The stars are out.",0
"The wind is blowing.",0
"The rain is falling.",0
"I need to buy milk.",0
"I need to buy eggs.",0
"I need to buy bread.",0
"I need to buy cheese.",0
"I need to buy fruit.",0
