label,text
2,woman shouldnt complain cleaning house man always take trash
1,boy dat coldtyga dwn bad cuffin dat hoe st place
1,dawg rt ever fuck bitch start cry confused shit
1,look like tranny
1,shit hear might true might faker bitch told ya
1,shit blow meclaim faithful somebody still fucking hoe
1,sit hate another bitch got much shit going
1,cause im tired big bitch coming u skinny girl
1,might get ya bitch back thats
1,hobby include fighting mariam bitch
1,keeks bitch curve everyone lol walked conversation like smh
1,murda gang bitch gang land
1,hoe smoke loser yea go ig
1,bad bitch thing like
1,bitch get
1,bitch nigga miss
1,bitch plz whatever
1,bitch love
1,bitch get cut everyday b
1,black bottle bad bitch
1,broke bitch cant tell nothing
1,cancel bitch like nino
1,cant see hoe wont change
1,fuck bitch dont even suck dick kermit video bout fuck ig
1,got ya bitch tip toeing hardwood floor
1,pussy lip like heaven door
1,hoe hitting
1,met pussy ocean dr gave pussy pill
1,need trippy bitch fuck hennessy
1,spend money want bitch business
1,txt old bitch new bitch pussy wetter
1,id say im back old old bitch would get excited
1,aint bout murder game pussy nigga shut
1,youre toe aint done pussy stink
1,im done bitter bitch wrap angry bird there app
1,ya bitch
1,aint nothing cut bitch
1,jus meet son ya mane as bitch shot
1,lame cry hoe thats tear clown
1,like snoop said dont love hoe
2,momma said pussy cat inside doghouse
1,hated hoe favorite mw sevenone
1,nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick
1,pimp pimp hoe future voice
1,post picture pussy get like
1,pussy powerful drug happyhumpday
1,quick piece pussy call drive
1,running round like brand new pussy thats bout get fucked
1,bitch even worst theyll send guy
1,hoe like nigga spend money talk bout
1,dont trust nigga bitch
1,yall nigga b cuffing hoe cause yall aint never bitch
1,dodge bullet da bitch cut pregnant bound thank god
1,young pill chamberlain bitch love music
1,teanna trump probably cleaner twitter hoe
1,gay nigga couldnt wait act like bitch tonight
1,ima steal cat n replace pitbull rt bitch
1,he gone always hoe
1,son bitch took tic tacs like movie
1,wanna get money fuck model bitch russell simmons
1,probably wouldnt mind school much didnt deal bitch as teacher retweet
1,im fucking fag said
1,female think dating pussy cute stuff make pussy
2,simplyaddictedtoguys woof woof hot scally lad
1,ya ever asked bitch bitch kanye voice yes
1,u gone bring ur side bitch game know ya gf friend swear
2,woof woof hot sol
2,lemmie eat oreo dish one oreo lol
1,bitch fuck u maybe youll get better
1,fuck red malone man bitch as niggah could please use complete sentence
2,eggplant emoji doey say looked like scream lmao
1,hennessey venom gt thats one sexy bitch
1,seh pussy wetter shower curtainahmesehwetnesslmao
1,eaglesnation every eagle need see pic posted bitch said racist shit
1,yo fuck skateboarding yall wood pushing faggot man ball life
2,baby monkey bathtime soooo adorable
1,aint shit damn skippy lol
1,u ever kill ant sidewalk think damn nigga way get pussyno b must b chance
1,ring mvp bitch lol
1,ppl talk bad ghettohood kid growing nigga funnnnnnn
1,fact tattoostattoo he pussy tattooing nipple
1,bitch wanting act like nigga bad shit aint cuteeeee nigga act like bitch
1,get worshiping bitch woof woof
1,wow rt im lost buttcheek piercings yeah shes hoe
1,ok si shed rather broke bitch shrug shell tell work
0,queer gaywad
1,faggot read tweet dat k wasnt even funny lol
1,bitch ungrateful fr lulwhore
