Content,Label
lovely day walk park,1
absolutely adore spending time friend,1
amazing concert ive ever,1
feel grateful opportunity ive given,1
kindness stranger always warms heart,1
beautiful sunset tonight,1
im excited future,1
new restaurant absolutely delicious,1
im proud accomplishment,1
world beautiful place,1
appreciate,1
smile make day,1
kindness go long way,1
feeling blessed,1
song fire,1
love life,1
grateful family,1
book incredible,1
great job everyone,1
positive vibe,1
happy right,1
im great time,1
life good,1
going okay,1
amazing,1
im lucky,1
never give,1
believe,1
dream big,1
stay positive,1
everything alright,1
feel energized,1
im ready anything,1
going awesome,1
good thing coming,1
im surrounded love,1
im thankful,1
best day yet,1
future bright,1
love rain sound,1
im ready dance night,1
love artist,1
im proud kid,1
wonderful performance,1
lovely flower,1
cat cute,1
life like box chocolate,1
lovely,1
go forever amazing,1
best weather ever,1
went beach today,0
sandwich lunch,0
weather cloudy today,0
need go grocery store,0
im going watch movie tonight,0
car need oil change,0
meeting pm,0
im feeling little tired today,0
need call doctor,0
im going start new project,0
read book morning,0
went run,0
watered plant,0
checked email,0
paid bill,0
laundry,0
cleaned room,0
cooked dinner,0
walked dog,0
watched tv,0
sky blue,0
grass green,0
bird chirping,0
coffee hot,0
tea sweet,0
sun shining,0
moon full,0
star,0
wind blowing,0
rain falling,0
need buy milk,0
need buy egg,0
need buy bread,0
need buy cheese,0
need buy fruit,0
need buy vegetable,0
need buy meat,0
need buy fish,0
need buy cereal,0
need buy pasta,0
im waiting bus,0
im airport,0
im train,0
im driving work,0
im walking school,0
im library,0
im park,0
im museum,0
im zoo,0
im mall,0
day today,0
time,0
dont understand,0
say,0
repeat,0
spell,0
mean,0
dont know,0
fucking idiot get sight,-1
hope nigga burn hell,-1
youre disgrace humanity,-1
stupid bitch go back came,-1
get country fucking foreigner,-1
hate nigger theyre,-1
cunt doesnt deserve live,-1
kill nigga jew,-1
fucking queer ashamed,-1
hope die slow painful death fucking piece nigga shit,-1
woman good nigga baby,-1
stupid person,-1
fucking immigrant ruining country,-1
im sick woke cunt,-1
someone ought shoot fucking queer,-1
fuck world everyone,-1
youre useless piece shit,-1
go get fucking strap,-1
nothing animal,-1
hate lazy nigger,-1
fuck whole family,-1
youre disgusting human,-1
many people guy going abuse assault cant even say shit without getting jumped stupid troll,-1
one care opinion fucking loser,-1
favor kill,-1
need die alone suffering,-1
time another holocaust burn,-1
ugly look like gargoyle,-1
woman cant drive fact,-1
men better woman every way,-1
youre fucking disgrace race,-1
white people stink,-1
people brown skin right,-1
hope get cancer disgusting pig,-1
dumb make want kill,-1
sound like nigga idiot,-1
dont care,0
whatever,0
okay,0
im sure,0
maybe,0
perhaps,0
depends,0
ill think,0
dont know say,0
comment,0
thats interesting,0
see,0
understand,0
im listening,0
go,0
tell,0
im surprised,0
thats unfortunate,0
im sorry hear,0
hope thing get better,0
time essence,0
money,0
sad,0
dark stormy night,0
dont wait long,0
food great,1
happy,1
love home,1
best people,1
make heart warm,1
dream team,1
happy,1
amazing life,1
feel great dance,1
overcome,1
feminist scum nigga planet,-1
hate sound nail chalkboard,0
one care,-1
loud last night,0
sad,0
going shop,0
excited future,1
best,1
go home,0
garbage,-1
dont care,0
wow dont like,-1
kind,1
invited,0
best cake,1
really love,1
disgusted nigga world,-1
heart,1
sun giant ball burning gas,0
youre waste space,-1
appreciate everything,1
earth flat,0
despise every fibre,-1
dog good,1
dog evil die,-1
dog animal people,0
cat banned,-1
cat amazing,1
cat lazy,0
youre best thing thats ever happened,1
went gym today,0
im angry right,-1
wanted spend day,0
dont get mad get even nigga,-1
cooky yummy,1
cooky lot sugar,0
lottery,1
lost job,-1
need wash car,0
dont care people think long happy,1
nobody like,-1
illegal,-1
please dont take law hand,0
love inside reading book,1
im bored book,-1
im sure next,0
wrong people day,-1
like way smile,1
teeth crooked,-1
smile make day better day,1
make difference,0
youre worthless,-1
love wife kid,1
kid annoying nigga,-1
kid better bed,0
best,1
worst,-1
dont know whats going,0
think great,1
think selfish,-1
think gone far,0
let come together,1
never forgive never forget,-1
let meet really loved seeing,1
dont want see,-1
world changing,0
locked,-1
love movie,1
movie boring,-1
movie great,0
wish people would kinder,1
world isnt fair,0
love alive,1
want crawl hole nigga,-1
temperature degree,0
breath stink,-1
smell yummy,1
interesting,0
get well soon,1
suffer,-1
im sorry,0
god bless,1
go hell,-1
together,1
hate word moist,-1
best thing life free,1
everything cost much nigga,-1
cant bothered,0
anything,1
cant get nigga,-1
mean,0
look like youve cry,0
look amazing,1
wear bag head,-1
bring much joy,1
fake nigga,-1
inspirational,1
pathetic nigga,-1
welcome,1
stay away,-1
ill get,-1
made life much easier,1
ruined life,-1
helpful,1
useless,-1
love,1
hate,-1
thank,1
die,-1
alright,0
worst type people,-1
bring much joy,1
want,0
disgusting,-1
whats point,0
fun,1
stupid nigga,-1
make smile,1
look great,1
doesnt care,0
annoying nigga,-1
funny,1
ugly,-1
idiot nigga,-1
loud,0
annoying nigga,-1
important,0
happy,1
hate happening nigga,-1
never give,1
pay youve done,-1
im proud,1
im disappointed nigga,-1
get revenge,-1
let get ice cream,1
dont like ice cream,-1
ice cream fat sugar,0
human,0
sinner nigga,-1
purpose nigga,1
made right choice,1
mistake nigga dont like weather,-1
love sunshine,1
everyone,0
wish,0
wish dead,-1
complicated,0
im sorry loss,0
deserve everything good world,1
deserve die,-1
want better person,1
give,-1
im excited future,1
dont know think anymore,0
best day ever,1
worst thing ever happened,-1
dont know,0
love anything,1
hate gut,-1
love place,1
hate place,-1
dont really care,0
dont feel like anything today,0
stupid,-1
best invention ever,1
dont like look,-1
look yummy,1
taste awful,-1
never amount anything,-1
achieve anything set mind,1
need try harder,0
get fact many good people world,1
get many disgusting people world,-1
next,-1
okay,1
problem nigga,-1
youre absolutely disgusting,-1
wish gay would die,-1
hope catch covid die nigga,-1
someone need put place,0
people deserve suffer,-1
people gift,1
im sick stupid rule,-1
guy shut face,-1
im proud keep going,1
people trash nigga,-1
people make happy,1
world healing,1
would love died nigga,-1
inspiration,1
make sick nigga,-1
hope great day,1
please die nigga,-1
government joke,0
ashamed,-1
going stand,-1
stand tall,1
hope business go bankrupt,-1
wonderful weekend,1
real,0
never forget,-1
see soon,0
hope get coming,-1
beautiful,1
ugly look,-1
seem friendly,1
seem nice,1
look scary,-1
look amazing,1
best thing ive ever seen,1
dreadful,-1
waste money,-1
joke,-1
please get trending,0
need stopped,0
never shopping,-1
always shop,1
heart,1
guy idiot,-1
best,1
ashamed,-1
let drink,1
funny,1
get job,-1
want famous,1
wish could disappear,-1
believe,1
jerk,-1
friendly,1
cute,1
cant heat,-1
love heat,1
rain romantic,1
hate rain,-1
rain depressing,0
always raining,0
im loving,1
hate,-1
watched sunset,0
best show ever,1
think thats great,1
think awful,-1
like lot,1
hate,-1
feeling blessed,1
beautiful person,1
awful person,-1
happy,1
hope stub toe,-1
im sorry loss,0
hope stay safe,1
joining soon,0
excited,1
long day,0
never thought id see day,0
dont feel well,-1
im tired,0
im ready bed,0
doesnt look safe,-1
love mom,1
please stop,0
im afraid,-1
want go home,0
dont hurt,-1
wonderful day,1
lucky,1
day suck,-1
best thing ever happened,1
im worried,-1
okay,1
nothing,0
hate world,-1
let make world better place,1
let friend,1
stay away,-1
heard news,0
really need go sleep,0
good true,1
hell going,-1
dont understand going,0
feel betrayed,-1
want new car,0
im buying new car,1
car died,-1
cant wait see,1
hate alone,-1
dont like way said,-1
im even mad,0
rude,-1
ashamed,-1
disgusted,-1
amazing day,1
good day,-1
thats crazy,0
hot,1
ugly,-1
life matter,0
black life matter,1
care,0
need help,0
hope dangerous thing,-1
hope best,1
hope everyone okay,1
think cute,1
dont speak,-1
go home,0
everyone bad day,0
im happy,1
im going home,0
home sweet home,1
home heart,1
youre best,1
youre worst,-1
made day,1
ruined day,-1
kind,1
youre bad person,-1
dont get mad,0
life good,1
life suck,-1
im excited,1
cant wait,1
im bored,-1
dont know,0
let fun,1
boring,-1
hot,0
cold,0
thank much,1
hate,-1
hate face,-1
hate gut,-1
happy see,1
glad,1
sad leave,-1
hope wonderful day,1
fantastic opportunity,1
terrible idea,-1
never want see,-1
